TOP MOVIES BY MEAN
124, "Star Maker, 5.0
226, Dream Man (1995), 5.0
418, Being Human (1993), 5.0
465, Heaven & Earth (1993), 5.0
567, Kika (1993), 5.0
583, Dear Diary (Caro Diario) (1994), 5.0
649, Cold Fever (Á köldum klaka) (1995), 5.0
49817, "Plague Dogs, 5.0
716, Switchblade Sisters (1975), 5.0
831, Stonewall (1995), 5.0

TOP MOVIES BY DAMPED MEAN
318, "Shawshank Redemption, 4.434121
858, "Godfather, 4.3645577
923, Citizen Kane (1941), 4.321706
1172, Cinema Paradiso (Nuovo cinema Paradiso) (1989), 4.306664
50, "Usual Suspects, 4.3042054
3000, Princess Mononoke (Mononoke-hime) (1997), 4.2785945
527, Schindler's List (1993), 4.2742286
1136, Monty Python and the Holy Grail (1975), 4.26654
904, Rear Window (1954), 4.257973
1252, Chinatown (1974), 4.24493

TOP MOVIES FOR Star Wars (Simple)
1210, Star Wars: Episode VI - Return of the Jedi (1983), 0.7032967
1196, Star Wars: Episode V - The Empire Strikes Back (1980), 0.6996337
1198, Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981), 0.63369966
2571, "Matrix, 0.62271065
480, Jurassic Park (1993), 0.5970696
1, Toy Story (1995), 0.5934066
296, Pulp Fiction (1994), 0.5897436
356, Forrest Gump (1994), 0.5787546
318, "Shawshank Redemption, 0.5677656
593, "Silence of the Lambs, 0.5604396

TOP MOVIES FOR Batman Forever (Advanced)
7981, Infernal Affairs (Mou gaan dou) (2002), Infinity
6303, "Andromeda Strain, Infinity
3521, Mystery Train (1989), Infinity
31804, Night Watch (Nochnoy dozor) (2004), Infinity
6879, Runaway Jury (2003), Infinity
68952, Drag Me to Hell (2009), Infinity
1379, Young Guns II (1990), Infinity
2901, Phantasm (1979), Infinity
3036, "Quest for Fire (Guerre du feu, Infinity
42723, Hostel (2005), Infinity
